1340311098483.25683594, -6736026819109.21582031, 1179951925900.31811523, 4215763794726.15527344,
-393784690077.00268555, 879103909171.81396484, -230088407919.70761108, -255230811174.98156738,
-393784690077.06732178, 879103909171.95300293, -230088407919.76309204, -255230811175.00152588,
-393784690077.07019043, 879103909172.03906250, -230088407919.76391602, -255230811175.08108521,
-393784690076.98181152, 879103909171.80676270, -230088407919.65850830, -255230811175.04336548,
-583556713729.84924316, 2723963945533.32128906, -561254930785.64428711, -1579152301017.82543945,
-583556713729.87988281, 2723963945533.43066406, -561254930785.69812012, -1579152301017.85009766,
-583556713729.91503906, 2723963945533.55957031, -561254930785.70275879, -1579152301017.93994141,
-583556713729.85278320, 2723963945533.33740234, -561254930785.59436035, -1579152301017.88793945,
300664685097.63311768, -71954173651.88922119, 289563485999.84533691, -518273997445.46929932,
300664685097.64770508, -71954173651.94903564, 289563485999.85498047, -518273997445.43035889,
300664685097.66070557, -71954173651.97058105, 289563485999.85626221, -518273997445.42529297,
300664685097.65869141, -71954173651.97009277, 289563485999.85437012, -518273997445.42211914,
-216070084042.29013062, 1203048608986.79321289, -232329698029.46545410, -754648826914.96533203,
-216070084042.23690796, 1203048608986.32983398, -232329698029.40191650, -754648826914.61804199,
-216070084042.22903442, 1203048608986.35131836, -232329698029.40802002, -754648826914.64208984,
-237118633112.88510132, 1130627166009.37841797, -248338493145.07122803, -645170039751.34912109,
-237118633112.81484985, 1130627166009.23413086, -248338493145.06536865, -645170039751.28039551,
-237118633112.84097290, 1130627166009.27587891, -248338493145.06546021, -645170039751.29602051,
-210445662618.79336548, 871237363060.55249023, -197503882020.24578857, -463287818421.42053223,
-210445662618.90603638, 871237363060.69140625, -197503882020.22998047, -463287818421.46203613,
-210445662618.90606689, 871237363061.07189941, -197503882020.29785156, -463287818421.77526855,
