0.29441322,
-0.00073227,
-0.00108867,
-0.00055448,
-0.00062331,
-0.00025885,
-0.00088748,
-0.11559126,
-0.05402063,
-0.12480134,
0.11632116,
-0.24343815,
-0.16729623,
-0.06439468,
0.30633786,
-0.53635640,
